CUE,CUEAnexo,Servicios_Complementarios
0602021,060202100,
0602022,060202200,
0602025,060202500,
0602025,060202501,
0602025,060202502,
0602026,060202600,
0602027,060202700,
0602028,060202800,
0602029,060202900,
0602030,060203000,
0602031,060203100,
0602034,060203400,
0602035,060203500,
0602036,060203600,
0602037,060203700,
0602038,060203800,
0602039,060203900,
0602040,060204000,
0602041,060204100,
0602042,060204200,
0602043,060204300,
0602044,060204400,
0602045,060204500,
0602046,060204600,
0602048,060204800,
0602049,060204900,
0602052,060205200,
0602053,060205300,
0602055,060205500,
0602056,060205600,
0602057,060205700,
0602058,060205800,
0602059,060205900,
0602059,060205901,
0602059,060205902,
0602059,060205903,
0602060,060206000,
0602062,060206200,
0602063,060206300,
0602065,060206500,
0602067,060206700,
0602069,060206900,
0602070,060207000,
0602072,060207200,
0602073,060207300,
0602074,060207400,
0602075,060207500,
0602076,060207600,
0602077,060207700,
0602078,060207800,
0602079,060207900,
0602079,060207901,
0602079,060207902,
0602080,060208000,
0602081,060208100,
0602083,060208300,
0602084,060208400,
0602085,060208500,
0602086,060208600,
0602087,060208700,
0602088,060208800,
0602090,060209000,
0602092,060209200,
0602093,060209300,
0602094,060209400,
0602098,060209800,
0602100,060210000,
0602101,060210100,
0602102,060210200,
0602103,060210300,
0602104,060210400,
0602105,060210500,
0602106,060210600,
0602107,060210700,
0602107,060210701,
0602107,060210702,
0602107,060210703,
0602108,060210800,
0602109,060210900,
0602113,060211300,
0602114,060211400,
0602115,060211500,
0602117,060211700,
0602118,060211800,
0602120,060212000,
0602121,060212100,
0602123,060212300,
0602124,060212400,
0602125,060212500,
0602126,060212600,
0602127,060212700,
0602128,060212800,
0602129,060212900,
0602129,060212901,
0602130,060213000,
0602131,060213100,
0602132,060213200,
0602133,060213300,
0602134,060213400,
0602135,060213500,
0602136,060213600,
0602138,060213800,
0602139,060213900,
0602140,060214000,
0602141,060214100,
0602142,060214200,
0602143,060214300,
0602144,060214400,
0602145,060214500,
0602146,060214600,
0602147,060214700,
0602148,060214800,
0602149,060214900,
0602150,060215000,
0602152,060215200,
0602153,060215300,
0602154,060215400,
0602154,060215401,
0602154,060215402,
0602154,060215403,
0602156,060215600,
0602157,060215700,
0602158,060215800,
0602159,060215900,
0602160,060216000,
0602161,060216100,
0602162,060216200,
0602163,060216300,
0602164,060216400,
0602167,060216700,
0602168,060216800,
0602169,060216900,
0602170,060217000,
0602171,060217100,
0602172,060217200,
0602173,060217300,
0602174,060217400,
0602175,060217500,
0602176,060217600,
0602178,060217800,
0602180,060218000,
0602181,060218100,
0602182,060218200,
0602183,060218300,
0602185,060218500,
0602186,060218600,
0602187,060218700,
0602188,060218800,
0602189,060218900,
0602190,060219000,
0602191,060219100,
0602192,060219200,
0602193,060219300,
0602194,060219400,
0602195,060219500,
0602196,060219600,
0602198,060219800,
0602199,060219900,
0602200,060220000,
0602201,060220100,
0602202,060220200,
0602203,060220300,
0602204,060220400,
0602205,060220500,
0602206,060220600,
0602207,060220700,
0602210,060221000,
0602211,060221100,
0602212,060221200,
0602213,060221300,
0602213,060221301,
0602213,060221302,
0602214,060221400,
0602215,060221500,
0602216,060221600,
0602217,060221700,
0602218,060221800,
0602219,060221900,
0602220,060222000,
0602222,060222200,
0602223,060222300,
0602224,060222400,
0602226,060222600,
0602227,060222700,
0602229,060222900,
0602230,060223000,
0602231,060223100,
0602232,060223200,
0602233,060223300,
0602234,060223400,
0602235,060223500,
0602237,060223700,
0602238,060223800,
0602239,060223900,
0602239,060223901,
0602239,060223902,
0602241,060224100,
0602241,060224101,
0602243,060224300,
0602244,060224400,
0602245,060224500,
0602247,060224700,
0602248,060224800,
0602249,060224900,
0602250,060225000,
0602251,060225100,
0602252,060225200,
0602253,060225300,
0602254,060225400,
0602255,060225500,
0602256,060225600,
0602257,060225700,
0602258,060225800,
0602259,060225900,
0602260,060226000,
0602261,060226100,
0602262,060226200,
0602263,060226300,
0602264,060226400,
0602265,060226500,
0602266,060226600,
0602267,060226700,
0602270,060227000,
0602272,060227200,
0602274,060227400,
0602275,060227500,
0602276,060227600,
0602277,060227700,
0602279,060227900,
0602285,060228500,
0602286,060228600,
0602287,060228700,
0602289,060228900,
0602290,060229000,
0602291,060229100,
0602292,060229200,
0602293,060229300,
0602294,060229400,
0602295,060229500,
0602296,060229600,
0602298,060229800,
0602301,060230100,
0602302,060230200,
0602303,060230300,
0602304,060230400,
0602305,060230500,
0602305,060230501,
0602305,060230502,
0602305,060230503,
0602306,060230600,
0602309,060230900,
0602310,060231000,
0602311,060231100,
0602312,060231200,
0602313,060231300,
0602314,060231400,
0602315,060231500,
0602316,060231600,
0602317,060231700,
0602318,060231800,
0602319,060231900,
0602320,060232000,
0602321,060232100,
0602322,060232200,
0602325,060232500,
0602326,060232600,
0602327,060232700,
0602328,060232800,
0602329,060232900,
0602330,060233000,
0602331,060233100,
0602332,060233200,
0602333,060233300,
0602334,060233400,
0602335,060233500,
0602336,060233600,
0602337,060233700,
0602339,060233900,
0602341,060234100,
0602342,060234200,
0602344,060234400,
0602345,060234500,
0602346,060234600,
0602347,060234700,
0602348,060234800,
0602349,060234900,
0602350,060235000,
0602351,060235100,
0602352,060235200,
0602354,060235400,
0602355,060235500,
0602356,060235600,
0602358,060235800,
0602359,060235900,
0602360,060236000,
0602362,060236200,
0602363,060236300,
0602364,060236400,
0602365,060236500,
0602366,060236600,
0602367,060236700,
0602368,060236800,
0602369,060236900,
0602370,060237000,
0602371,060237100,
0602373,060237300,
0602375,060237500,
0602376,060237600,
0602377,060237700,
0602378,060237800,
0602379,060237900,
0602380,060238000,
0602381,060238100,
0602382,060238200,
0602383,060238300,
0602384,060238400,
0602385,060238500,
0602387,060238700,
0602388,060238800,
0602389,060238900,
0602390,060239000,
0602391,060239100,
0602392,060239200,
0602394,060239400,
0602395,060239500,
0602396,060239600,
0602397,060239700,
0602398,060239800,
0602399,060239900,
0602400,060240000,
0602401,060240100,
0602402,060240200,
0602403,060240300,
0602404,060240400,
0602405,060240500,
0602406,060240600,
0602407,060240700,
0602408,060240800,
0602409,060240900,
0602410,060241000,
0602411,060241100,
0602412,060241200,
0602413,060241300,
0602414,060241400,
0602415,060241500,
0602416,060241600,
0602417,060241700,
0602418,060241800,
0602419,060241900,
0602420,060242000,
0602421,060242100,
0602422,060242200,
0602423,060242300,
0602425,060242500,
0602426,060242600,
0602427,060242700,
0602428,060242800,
0602429,060242900,
0602430,060243000,
0602433,060243300,
0602434,060243400,
0602435,060243500,
0602436,060243600,
0602437,060243700,
0602438,060243800,
0602439,060243900,
0602440,060244000,
0602441,060244100,
0602442,060244200,
0602442,060244203,
0602443,060244300,
0602444,060244400,
0602444,060244401,
0602444,060244402,
0602445,060244500,
0602446,060244600,
0602448,060244800,
0602449,060244900,
0602451,060245100,
0602452,060245200,
0602453,060245300,
0602454,060245400,
0602455,060245500,
0602456,060245600,
0602457,060245700,
0602458,060245800,
0602459,060245900,
0602460,060246000,
0602461,060246100,
0602462,060246200,
0602463,060246300,
0602464,060246400,
0602465,060246500,
0602466,060246600,
0602467,060246700,
0602468,060246800,
0602469,060246900,
0602470,060247000,
0602471,060247100,
0602472,060247200,
0602474,060247400,
0602476,060247600,
0602477,060247700,
0602478,060247800,
0602479,060247900,
0602480,060248000,
0602481,060248100,
0602482,060248200,
0602483,060248300,
0602484,060248400,
0602485,060248500,
0602486,060248600,
0602486,060248601,
0602486,060248602,
0602486,060248603,
0602487,060248700,
0602489,060248900,
0602491,060249100,
0602492,060249200,
0602493,060249300,
0602494,060249400,
0602495,060249500,
0602496,060249600,
0602497,060249700,
0602498,060249800,
0602499,060249900,
0602500,060250000,
0602501,060250100,
0602502,060250200,
0602503,060250300,
0602504,060250400,
0602506,060250600,
0602507,060250700,
0602508,060250800,
0602509,060250900,
0602511,060251100,
0602512,060251200,
0602513,060251300,
0602514,060251400,
0602515,060251500,
0602516,060251600,
0602517,060251700,
0602518,060251800,
0602519,060251900,
0602520,060252000,
0602521,060252100,
0602522,060252200,
0602523,060252300,
0602524,060252400,
0602525,060252500,
0602526,060252600,
0602528,060252800,
0602529,060252900,
0602530,060253000,
0602530,060253001,
0602531,060253100,
0602531,060253101,
0602531,060253102,
0602532,060253200,
0602533,060253300,
0602534,060253400,
0602536,060253600,
0602537,060253700,
0602537,060253701,
0602537,060253702,
0602537,060253703,
0602538,060253800,
0602539,060253900,
0602542,060254200,
0602546,060254600,
0602547,060254700,
0602548,060254800,
0602549,060254900,
0602550,060255000,
0602552,060255200,
0602553,060255300,
0602554,060255400,
0602556,060255600,
0602557,060255700,
0602558,060255800,
0602559,060255900,
0602562,060256200,
0602563,060256300,
0602564,060256400,
0602565,060256500,
0602566,060256600,
0602567,060256700,
0602568,060256800,
0602569,060256900,
0602571,060257100,
0602572,060257200,
0602573,060257300,
0602575,060257500,
0602576,060257600,
0602577,060257700,
0602579,060257900,
0602580,060258000,
0602581,060258100,
0602582,060258200,
0602583,060258300,
0602584,060258400,
0602585,060258500,
0602586,060258600,
0602587,060258700,
0602588,060258800,
0602589,060258900,
0602590,060259000,
0602591,060259100,
0602592,060259200,
0602593,060259300,
0602594,060259400,
0602595,060259500,
0602596,060259600,
0602597,060259700,
0602598,060259800,
0602599,060259900,
0602600,060260000,
0602601,060260100,
0602602,060260200,
0602603,060260300,
0602604,060260400,
0602605,060260500,
0602606,060260600,
0602607,060260700,
0602608,060260800,
0602609,060260900,
0602610,060261000,
0602612,060261200,
0602614,060261400,
0602615,060261500,
0602616,060261600,
0602617,060261700,
0602617,060261701,
0602617,060261702,
0602617,060261703,
0602618,060261800,
0602619,060261900,
0602622,060262200,
0602623,060262300,
0602624,060262400,
0602625,060262500,
0602627,060262700,
0602628,060262800,
0602629,060262900,
0602631,060263100,
0602632,060263200,
0602633,060263300,
0602634,060263400,
0602637,060263700,
0602638,060263800,
0602639,060263900,
0602640,060264000,
0602641,060264100,
0602642,060264200,
0602643,060264300,
0602644,060264400,
0602645,060264500,
0602646,060264600,
0602647,060264700,
0602648,060264800,
0602649,060264900,
0602650,060265000,
0602651,060265100,
0602652,060265200,
0602653,060265300,
0602654,060265400,
0602655,060265500,
0602657,060265700,
0602658,060265800,
0602659,060265900,
0602660,060266000,
0602661,060266100,
0602662,060266200,
0602664,060266400,
0602665,060266500,
0602666,060266600,
0602668,060266800,
0602669,060266900,
0602670,060267000,
0602671,060267100,
0602674,060267400,
0602675,060267500,
0602676,060267600,
0602677,060267700,
0602678,060267800,
0602679,060267900,
0602680,060268000,
0602681,060268100,
0602682,060268200,
0602683,060268300,
0602685,060268500,
0602686,060268600,
0602688,060268800,
0602689,060268900,
0602691,060269100,
0602692,060269200,
0602693,060269300,
0602694,060269400,
0602695,060269500,
0602696,060269600,
0602697,060269700,
0602698,060269800,
0602699,060269900,
0602700,060270000,
0602701,060270100,
0602702,060270200,
0602703,060270300,
0602704,060270400,
0602704,060270402,
0602704,060270403,
0602704,060270404,
0602705,060270500,
0602706,060270600,
0602707,060270700,
0602708,060270800,
0602709,060270900,
0602710,060271000,
0602711,060271100,
0602713,060271300,
0602715,060271500,
0602717,060271700,
0602719,060271900,
0602720,060272000,
0602721,060272100,
0602722,060272200,
0602723,060272300,
0602724,060272400,
0602725,060272500,
0602726,060272600,
0602727,060272700,
0602728,060272800,
0602729,060272900,
0602730,060273000,
0602731,060273100,
0602732,060273200,
0602733,060273300,
0602734,060273400,
0602735,060273500,
0602736,060273600,
0602737,060273700,
0602738,060273800,
0602739,060273900,
0602740,060274000,
0602743,060274300,
0602744,060274400,
0602745,060274500,
0602746,060274600,
0602747,060274700,
0602748,060274800,
0602749,060274900,
0602751,060275100,
0602752,060275200,
0602754,060275400,
0602755,060275500,
0602756,060275600,
0602757,060275700,
0602758,060275800,
0602759,060275900,
0602760,060276000,
0602762,060276200,
0602765,060276500,
0602767,060276700,
0602768,060276800,
0602769,060276900,
0602770,060277000,
0602771,060277100,
0602772,060277200,
0602773,060277300,
0602774,060277400,
0602775,060277500,
0602776,060277600,
0602777,060277700,
0602778,060277800,
0602779,060277900,
0602780,060278000,
0602781,060278100,
0602782,060278200,
0602785,060278500,
0602786,060278600,
0602787,060278700,
0602789,060278900,
0602790,060279000,
0602791,060279100,
0602794,060279400,
0602795,060279500,
0602796,060279600,
0602799,060279900,
0602800,060280000,
0602802,060280200,
0602803,060280300,
0602805,060280500,
0602806,060280600,
0602807,060280700,
0602809,060280900,
0602810,060281000,
0602811,060281100,
0602812,060281200,
0602813,060281300,
0602814,060281400,
0602815,060281500,
0602816,060281600,
0602817,060281700,
0602818,060281800,
0602819,060281900,
0602820,060282000,
0602821,060282100,
0602822,060282200,
0602823,060282300,
0602824,060282400,
0602825,060282500,
0602826,060282600,
0602827,060282700,
0602828,060282800,
0602829,060282900,
0602830,060283000,
0602831,060283100,
0602832,060283200,
0602833,060283300,
0602834,060283400,
0602835,060283500,
0602836,060283600,
0602837,060283700,
0602838,060283800,
0602838,060283801,
0602838,060283802,
0602838,060283803,
0602839,060283900,
0602840,060284000,
0602841,060284100,
0602842,060284200,
0602843,060284300,
0602844,060284400,
0602845,060284500,
0602846,060284600,
0602847,060284700,
0602848,060284800,
0602849,060284900,
0602850,060285000,
0602851,060285100,
0602852,060285200,
0602853,060285300,
0602854,060285400,
0602855,060285500,
0602856,060285600,
0602857,060285700,
0602858,060285800,
0602859,060285900,
0602860,060286000,
0602861,060286100,
0602862,060286200,
0602863,060286300,
0602864,060286400,
0602865,060286500,
0602866,060286600,
0602867,060286700,
0602868,060286800,
0602869,060286900,
0602871,060287100,
0602872,060287200,
0602873,060287300,
0602874,060287400,
0602875,060287500,
0602876,060287600,
0602877,060287700,
0602878,060287800,
0602879,060287900,
0602880,060288000,
0602881,060288100,
0602882,060288200,
0602883,060288300,
0602884,060288400,
0602885,060288500,
0602886,060288600,
0602887,060288700,
0602888,060288800,
0602889,060288900,
0602892,060289200,
0602893,060289300,
0602894,060289400,
0602895,060289500,
0602896,060289600,
0602897,060289700,
0602898,060289800,
0602900,060290000,
0602901,060290100,
0602902,060290200,
0602903,060290300,
0602904,060290400,
0602905,060290500,
0602906,060290600,
0602907,060290700,
0602908,060290800,
0602909,060290900,
0602911,060291100,
0602912,060291200,
0602913,060291300,
0602914,060291400,
0602914,060291401,
0602914,060291402,
0602914,060291403,
0602916,060291600,
0602917,060291700,
0602918,060291800,
0602919,060291900,
0602920,060292000,
0602922,060292200,
0602923,060292300,
0602924,060292400,
0602925,060292500,
0602926,060292600,
0602927,060292700,
0602928,060292800,
0602930,060293000,
0602931,060293100,
0602932,060293200,
0602933,060293300,
0602934,060293400,
0602936,060293600,
0602937,060293700,
0602938,060293800,
0602940,060294000,
0602942,060294200,
0602943,060294300,
0602944,060294400,
0602945,060294500,
0602946,060294600,
0602947,060294700,
0602948,060294800,
0602948,060294801,
0602948,060294802,
0602949,060294900,
0602950,060295000,
0602951,060295100,
0602952,060295200,
0602954,060295400,
0602956,060295600,
0602956,060295601,
0602956,060295603,
0602956,060295604,
0602957,060295700,
0602958,060295800,
0602959,060295900,
0602960,060296000,
0602961,060296100,
0602962,060296200,
0602963,060296300,
0602964,060296400,
0602965,060296500,
0602966,060296600,
0602967,060296700,
0602968,060296800,
0602969,060296900,
0602970,060297000,
0602971,060297100,
0602972,060297200,
0602973,060297300,
0602975,060297500,
0602976,060297600,
0602977,060297700,
0602979,060297900,
0602980,060298000,
0602982,060298200,
0602983,060298300,
0602984,060298400,
0602985,060298500,
0602986,060298600,
0602987,060298700,
0602988,060298800,
0602989,060298900,
0602990,060299000,
0602991,060299100,
0602992,060299200,
0602993,060299300,
0602994,060299400,
0602995,060299500,
0602995,060299501,
0602996,060299600,
0602997,060299700,
0602999,060299900,
0603001,060300100,
0603003,060300300,
0603004,060300400,
0603005,060300500,
0603006,060300600,
0603007,060300700,
0603008,060300800,
0603009,060300900,
0603010,060301000,
0603011,060301100,
0603012,060301200,
0603013,060301300,
0603014,060301400,
0603015,060301500,
0603016,060301600,
0603017,060301700,
0603018,060301800,
0603019,060301900,
0603020,060302000,
0603021,060302100,
0603023,060302300,
0603024,060302400,
0603026,060302600,
0603027,060302700,
0603028,060302800,
0603029,060302900,
0603030,060303000,
0603031,060303100,
0603032,060303200,
0603033,060303300,
0603034,060303400,
0603035,060303500,
0603036,060303600,
0603037,060303700,
0603038,060303800,
0603039,060303900,
0603040,060304000,
0603041,060304100,
0603042,060304200,
0603043,060304300,
0603044,060304400,
0603045,060304500,
0603046,060304600,
0603048,060304800,
0603052,060305200,
0603053,060305300,
0603054,060305400,
0603055,060305500,
0603056,060305600,
0603057,060305700,
0603058,060305800,
0603061,060306100,
0603062,060306200,
0603063,060306300,
0603065,060306500,
0603066,060306600,
0603067,060306700,
0603068,060306800,
0603069,060306900,
0603070,060307000,
0603071,060307100,
0603073,060307300,
0603075,060307500,
0603076,060307600,
0603077,060307700,
0603078,060307800,
0603079,060307900,
0603080,060308000,
0603081,060308100,
0603082,060308200,
0603083,060308300,
0603084,060308400,
0603088,060308800,
0603089,060308900,
0603090,060309000,
0603091,060309100,
0603092,060309200,
0603093,060309300,
0603097,060309700,
0603098,060309800,
0603099,060309900,
0603100,060310000,
0603103,060310300,
0603104,060310400,
0603105,060310500,
0603106,060310600,
0603106,060310601,
0603108,060310800,
0603109,060310900,
0603110,060311000,
0603112,060311200,
0603113,060311300,
0603114,060311400,
0603115,060311500,
0603116,060311600,
0603118,060311800,
0603119,060311900,
0603120,060312000,
0603121,060312100,
0603122,060312200,
0603123,060312300,
0603124,060312400,
0603126,060312600,
0603127,060312700,
0603128,060312800,
0603129,060312900,
0603131,060313100,
0603132,060313200,
0603133,060313300,
0603134,060313400,
0603135,060313500,
0603136,060313600,
0603137,060313700,
0603138,060313800,
0603140,060314000,
0603141,060314100,
0603143,060314300,
0603144,060314400,
0603146,060314600,
0603149,060314900,
0603150,060315000,
0603151,060315100,
0603152,060315200,
0603153,060315300,
0603154,060315400,
0603155,060315500,
0603157,060315700,
0603157,060315701,
0603157,060315702,
0603157,060315703,
0603157,060315704,
0603158,060315800,
0603159,060315900,
0603160,060316000,
0603161,060316100,
0603162,060316200,
0603165,060316500,
0603165,060316501,
0603165,060316502,
0603165,060316503,
0603166,060316600,
0603168,060316800,
0603170,060317000,
0603171,060317100,
0603172,060317200,
0603172,060317201,
0603172,060317202,
0603172,060317203,
0603173,060317300,
0603174,060317400,
0603175,060317500,
0603176,060317600,
0603177,060317700,
0603178,060317800,
0603179,060317900,
0603181,060318100,
0603182,060318200,
0603183,060318300,
0603184,060318400,
0603186,060318600,
0603188,060318800,
0603191,060319100,
0603192,060319200,
0603193,060319300,
0603194,060319400,
0603194,060319401,
0603196,060319600,
0603197,060319700,
0603198,060319800,
0603199,060319900,
0603200,060320000,
0603201,060320100,
0603202,060320200,
0603203,060320300,
0603204,060320400,
0603206,060320600,
0603207,060320700,
0603208,060320800,
0603209,060320900,
0603209,060320901,
0603210,060321000,
0603211,060321100,
0603212,060321200,
0603213,060321300,
0603214,060321400,
0603215,060321500,
0603216,060321600,
0603217,060321700,
0603218,060321800,
0603219,060321900,
0603220,060322000,
0603221,060322100,
0603222,060322200,
0603224,060322400,
0603225,060322500,
0603226,060322600,
0603227,060322700,
0603228,060322800,
0603229,060322900,
0603230,060323000,
0603235,060323500,
0603236,060323600,
0603237,060323700,
0603238,060323800,
0603240,060324000,
0603241,060324100,
0603242,060324200,
0603243,060324300,
0603244,060324400,
0603245,060324500,
0603246,060324600,
0603247,060324700,
0603248,060324800,
0603250,060325000,
0603252,060325200,
0603253,060325300,
0603254,060325400,
0603255,060325500,
0603256,060325600,
0603257,060325700,
0603258,060325800,
0603259,060325900,
0603260,060326000,
0603261,060326100,
0603262,060326200,
0603263,060326300,
0603264,060326400,
0603266,060326600,
0603266,060326601,
0603267,060326700,
0603268,060326800,
0603269,060326900,
0603270,060327000,
0603271,060327100,
0603273,060327300,
0603274,060327400,
0603276,060327600,
0603277,060327700,
0603278,060327800,
0603278,060327801,
0603278,060327803,
0603278,060327804,
0603279,060327900,
0603280,060328000,
0603281,060328100,
0603283,060328300,
0603284,060328400,
0603285,060328500,
0603286,060328600,
0603287,060328700,
0603289,060328900,
0603290,060329000,
0603292,060329200,
0603293,060329300,
0603294,060329400,
0603295,060329500,
0603296,060329600,
0603297,060329700,
0603298,060329800,
0603299,060329900,
0603300,060330000,
0603302,060330200,
0603303,060330300,
0603304,060330400,
0603305,060330500,
0603306,060330600,
0603307,060330700,
0603308,060330800,
0603309,060330900,
0603310,060331000,
0603311,060331100,
0603312,060331200,
0603313,060331300,
0603314,060331400,
0603315,060331500,
0603318,060331800,
0603319,060331900,
0603320,060332000,
0603321,060332100,
0603322,060332200,
0603323,060332300,
0603324,060332400,
0603325,060332500,
0603326,060332600,
0603327,060332700,
0603328,060332800,
0603329,060332900,
0603330,060333000,
0603331,060333100,
0603332,060333200,
0603333,060333300,
0603334,060333400,
0603335,060333500,
0603336,060333600,
0603338,060333800,
0603339,060333900,
0603341,060334100,
0603342,060334200,
0603343,060334300,
0603344,060334400,
0603346,060334600,
0603347,060334700,
0603348,060334800,
0603350,060335000,
0603351,060335100,
0603352,060335200,
0603353,060335300,
0603354,060335400,
0603355,060335500,
0603356,060335600,
0603358,060335800,
0603359,060335900,
0603360,060336000,
0603361,060336100,
0603362,060336200,
0603363,060336300,
0603364,060336400,
0603365,060336500,
0603367,060336700,
0603369,060336900,
0603370,060337000,
0603371,060337100,
0603372,060337200,
0603373,060337300,
0603374,060337400,
0603375,060337500,
0603376,060337600,
0603377,060337700,
0603378,060337800,
0603380,060338000,
0603382,060338200,
0603383,060338300,
0603384,060338400,
0603385,060338500,
0603386,060338600,
0603387,060338700,
0603388,060338800,
0603389,060338900,
0603390,060339000,
0603391,060339100,
0603392,060339200,
0603392,060339201,
0603393,060339300,
0603394,060339400,
0603395,060339500,
0603396,060339600,
0603397,060339700,
0603400,060340000,
0603401,060340100,
0603402,060340200,
0603404,060340400,
0603405,060340500,
0603406,060340600,
0603408,060340800,
0603409,060340900,
0603410,060341000,
0603412,060341200,
0603413,060341300,
0603414,060341400,
0603415,060341500,
0603420,060342000,
0603421,060342100,
0603422,060342200,
0603423,060342300,
0603424,060342400,
0603425,060342500,
0603426,060342600,
0603427,060342700,
0603429,060342900,
0603430,060343000,
0603431,060343100,
0603432,060343200,
0603433,060343300,
0603434,060343400,
0603435,060343500,
0603436,060343600,
0603437,060343700,
0603437,060343701,
0603438,060343800,
0603439,060343900,
0603440,060344000,
0603441,060344100,
0603442,060344200,
0603443,060344300,
0603444,060344400,
0603445,060344500,
0603447,060344700,
0603448,060344800,
0603449,060344900,
0603450,060345000,
0603452,060345200,
0603453,060345300,
0603454,060345400,
0603455,060345500,
0603456,060345600,
0603457,060345700,
0603458,060345800,
0603458,060345801,
0603459,060345900,
0603460,060346000,
0603462,060346200,
0603463,060346300,
0603464,060346400,
0603465,060346500,
0603466,060346600,
0603467,060346700,
0603468,060346800,
0603469,060346900,
0603470,060347000,
0603471,060347100,
0603472,060347200,
0603473,060347300,
0603475,060347500,
0603476,060347600,
0603477,060347700,
0603479,060347900,
0603480,060348000,
0603481,060348100,
0603483,060348300,
0603484,060348400,
0603485,060348500,
0603486,060348600,
0603487,060348700,
0603489,060348900,
0603490,060349000,
0603491,060349100,
0603492,060349200,
0603493,060349300,
0603494,060349400,
0603495,060349500,
0603496,060349600,
0603497,060349700,
0603498,060349800,
0603500,060350000,
0603501,060350100,
0603502,060350200,
0603503,060350300,
0603503,060350301,
0603504,060350400,
0603505,060350500,
0603506,060350600,
0603507,060350700,
0603508,060350800,
0603510,060351000,
0603512,060351200,
0603513,060351300,
0603515,060351500,
0603516,060351600,
0603518,060351800,
0603519,060351900,
0603520,060352000,
0603522,060352200,
0603523,060352300,
0603524,060352400,
0603525,060352500,
0603525,060352501,
0603527,060352700,
0603529,060352900,
0603530,060353000,
0603532,060353200,
0603533,060353300,
0603534,060353400,
0603535,060353500,
0603536,060353600,
0603537,060353700,
0603538,060353800,
0603539,060353900,
0603540,060354000,
0603541,060354100,
0603543,060354300,
0603545,060354500,
0603546,060354600,
0603547,060354700,
0603548,060354800,
0603549,060354900,
0603550,060355000,
0603551,060355100,
0603552,060355200,
0603555,060355500,
0603556,060355600,
0603557,060355700,
0603558,060355800,
0603559,060355900,
0603560,060356000,
0603562,060356200,
0603564,060356400,
0603565,060356500,
0603566,060356600,
0603567,060356700,
0603568,060356800,
0603569,060356900,
0603571,060357100,
0603572,060357200,
0603573,060357300,
0603574,060357400,
0603575,060357500,
0603576,060357600,
0603578,060357800,
0603579,060357900,
0603580,060358000,
0603581,060358100,
0603582,060358200,
0603583,060358300,
0603584,060358400,
0603585,060358500,
0603586,060358600,
0603588,060358800,
0603589,060358900,
0603590,060359000,
0603591,060359100,
0603593,060359300,
0603594,060359400,
0603595,060359500,
0603596,060359600,
0603597,060359700,
0603598,060359800,
0603599,060359900,
0603600,060360000,
0603602,060360200,
0603603,060360300,
0603604,060360400,
0603605,060360500,
0603606,060360600,
0603607,060360700,
0603608,060360800,
0603609,060360900,
0603610,060361000,
0603611,060361100,
0603612,060361200,
0603613,060361300,
0603614,060361400,
0603615,060361500,
0603616,060361600,
0603617,060361700,
0603618,060361800,
0603619,060361900,
0603620,060362000,
0603621,060362100,
0603622,060362200,
0603623,060362300,
0603625,060362500,
0603626,060362600,
0603627,060362700,
0603628,060362800,
0603629,060362900,
0603631,060363100,
0603632,060363200,
0603633,060363300,
0603634,060363400,
0603636,060363600,
0603637,060363700,
0603638,060363800,
0603639,060363900,
0603640,060364000,
0603641,060364100,
0603642,060364200,
0603643,060364300,
0603644,060364400,
0603645,060364500,
0603646,060364600,
0603648,060364800,
0603649,060364900,
0603651,060365100,
0603652,060365200,
0603653,060365300,
0603654,060365400,
0603655,060365500,
0603656,060365600,
0603657,060365700,
0603658,060365800,
0603659,060365900,
0603660,060366000,
0603661,060366100,
0603663,060366300,
0603664,060366400,
0603665,060366500,
0603666,060366600,
0603669,060366900,
0603670,060367000,
0603671,060367100,
0603672,060367200,
0603673,060367300,
0603674,060367400,
0603675,060367500,
0603676,060367600,
0603677,060367700,
0603680,060368000,
0603681,060368100,
0603682,060368200,
0603683,060368300,
0603686,060368600,
0603687,060368700,
0603688,060368800,
0603689,060368900,
0603690,060369000,
0603691,060369100,
0603692,060369200,
0603695,060369500,
0603696,060369600,
0603697,060369700,
0603699,060369900,
0603700,060370000,
0603701,060370100,
0603702,060370200,
0603703,060370300,
0603704,060370400,
0603705,060370500,
0603706,060370600,
0603707,060370700,
0603710,060371000,
0603711,060371100,
0603713,060371300,
0603714,060371400,
0603715,060371500,
0603718,060371800,
0603719,060371900,
0603720,060372000,
0603721,060372100,
0603722,060372200,
0603724,060372400,
0603725,060372500,
0603727,060372700,
0603730,060373000,
0603731,060373100,
0603732,060373200,
0603733,060373300,
0603734,060373400,
0603735,060373500,
0603736,060373600,
0603737,060373700,
0603739,060373900,
0603740,060374000,
0603741,060374100,
0603742,060374200,
0603743,060374300,
0603745,060374500,
0603746,060374600,
0603747,060374700,
0603748,060374800,
0603749,060374900,
0603750,060375000,
0603751,060375100,
0603752,060375200,
0603753,060375300,
0603754,060375400,
0603755,060375500,
0603756,060375600,
0603757,060375700,
0603758,060375800,
0603759,060375900,
0603760,060376000,
0603761,060376100,
0603762,060376200,
0603763,060376300,
0603764,060376400,
0603765,060376500,
0603766,060376600,
0603767,060376700,
0603768,060376800,
0603769,060376900,
0603770,060377000,
0603771,060377100,
0603772,060377200,
0603773,060377300,
0603774,060377400,
0603775,060377500,
0603776,060377600,
0603777,060377700,
0603777,060377701,
0603777,060377702,
0603778,060377800,
0603779,060377900,
0603780,060378000,
0603781,060378100,
